run_id,timestamp,previous_batches,previous_traversals,previous_elapsed_sec,run_batches,run_traversals,run_elapsed_sec,total_batches,total_traversals,total_elapsed_sec,batches,traversals,elapsed_sec,workers,merge_interval,regret_update,stack,small_blind,infosets,utility_sum_last_batch,checkpoint_reason
20260502-100359,1777731138.722639,0,0,0.0,63,378000,498.75469493865967,63,378000,498.75469493865967,63,378000,498.75469493865967,10,300,cfr,1000,10,3104,-592.9315741459543,interval
20260502-100359,1777731449.7340958,0,0,0.0,105,630000,809.757838010788,105,630000,809.757838010788,105,630000,809.757838010788,10,300,cfr,1000,10,3104,-1597.6324325947453,interval
20260502-100359,1777732113.073641,0,0,0.0,139,834000,1473.1068530082703,139,834000,1473.1068530082703,139,834000,1473.1068530082703,10,300,cfr,1000,10,3104,228.62198929628346,interval
20260502-100359,1777732419.026806,0,0,0.0,181,1086000,1779.0601708889008,181,1086000,1779.0601708889008,181,1086000,1779.0601708889008,10,300,cfr,1000,10,3104,-489.77665625780764,interval
20260502-100359,1777732720.3466702,0,0,0.0,244,1464000,2080.3752629756927,244,1464000,2080.3752629756927,244,1464000,2080.3752629756927,10,300,cfr,1000,10,3104,44.22412047273724,interval
20260502-100359,1777733124.52245,0,0,0.0,270,1620000,2484.553991794586,270,1620000,2484.553991794586,270,1620000,2484.553991794586,10,300,cfr,1000,10,3104,369.48273616684094,interval
20260502-100359,1777733902.749491,0,0,0.0,294,1764000,3262.8066070079803,294,1764000,3262.8066070079803,294,1764000,3262.8066070079803,10,300,cfr,1000,10,3104,1077.7679319141423,interval
20260502-100359,1777734453.637575,0,0,0.0,303,1818000,3813.665911912918,303,1818000,3813.665911912918,303,1818000,3813.665911912918,10,300,cfr,1000,10,3104,-975.4720533833955,interval
20260502-100359,1777737867.630412,0,0,0.0,319,1914000,7227.664129018784,319,1914000,7227.664129018784,319,1914000,7227.664129018784,10,300,cfr,1000,10,3104,-883.859267646162,interval
20260502-100359,1777737867.706462,0,0,0.0,319,1914000,7227.739278078079,319,1914000,7227.739278078079,319,1914000,7227.739278078079,10,300,cfr,1000,10,3104,-883.859267646162,final
20260502-173235,1777757855.94221,319,1914000,7227.739278078079,93,558000,300.15838384628296,412,2472000,7527.897661924362,412,2472000,7527.897661924362,10,300,cfr,1000,10,3104,-1204.980271941564,interval
20260502-173235,1777758156.0652008,319,1914000,7227.739278078079,232,1392000,600.2947797775269,551,3306000,7828.034057855606,551,3306000,7828.034057855606,10,300,cfr,1000,10,3104,466.03342717571286,interval
20260502-173235,1777758456.6735182,319,1914000,7227.739278078079,365,2190000,900.8979909420013,684,4104000,8128.637269020081,684,4104000,8128.637269020081,10,300,cfr,1000,10,3104,521.8301813257216,interval
20260502-173235,1777758758.043662,319,1914000,7227.739278078079,498,2988000,1202.2705359458923,817,4902000,8430.009814023972,817,4902000,8430.009814023972,10,300,cfr,1000,10,3104,260.35541991841245,interval
20260502-173235,1777759059.4711208,319,1914000,7227.739278078079,637,3822000,1503.698802947998,956,5736000,8731.438081026077,956,5736000,8731.438081026077,10,300,cfr,1000,10,3104,591.7539178644505,interval
20260502-173235,1777759360.391693,319,1914000,7227.739278078079,774,4644000,1804.614998102188,1093,6558000,9032.354276180267,1093,6558000,9032.354276180267,10,300,cfr,1000,10,3104,2289.361133360353,interval
20260502-173235,1777759661.882553,319,1914000,7227.739278078079,908,5448000,2106.1127281188965,1227,7362000,9333.852006196976,1227,7362000,9333.852006196976,10,300,cfr,1000,10,3104,-699.5673759875872,interval
20260502-173235,1777759963.14775,319,1914000,7227.739278078079,1040,6240000,2407.378809928894,1359,8154000,9635.118088006973,1359,8154000,9635.118088006973,10,300,cfr,1000,10,3104,1834.0751855210888,interval
20260502-173235,1777760263.3548002,319,1914000,7227.739278078079,1169,7014000,2707.582901954651,1488,8928000,9935.32218003273,1488,8928000,9935.32218003273,10,300,cfr,1000,10,3104,-254.55709816581987,interval
20260502-173235,1777760563.713492,319,1914000,7227.739278078079,1302,7812000,3007.9439799785614,1621,9726000,10235.68325805664,1621,9726000,10235.68325805664,10,300,cfr,1000,10,3104,34.79998669277225,interval
20260502-173235,1777760863.745204,319,1914000,7227.739278078079,1443,8658000,3307.976679801941,1762,10572000,10535.71595788002,1762,10572000,10535.71595788002,10,300,cfr,1000,10,3104,-213.13540907331634,interval
20260502-173235,1777761164.453326,319,1914000,7227.739278078079,1577,9462000,3608.684110879898,1896,11376000,10836.423388957977,1896,11376000,10836.423388957977,10,300,cfr,1000,10,3104,-1085.9607934615892,interval
20260502-173235,1777761466.229612,319,1914000,7227.739278078079,1713,10278000,3910.4599318504333,2032,12192000,11138.199209928513,2032,12192000,11138.199209928513,10,300,cfr,1000,10,3104,-219.17537801836605,interval
20260502-173235,1777761767.9984589,319,1914000,7227.739278078079,1855,11130000,4212.225193977356,2174,13044000,11439.964472055435,2174,13044000,11439.964472055435,10,300,cfr,1000,10,3104,-922.3544097264557,interval
20260502-173235,1777762070.2280262,319,1914000,7227.739278078079,1997,11982000,4514.456634759903,2316,13896000,11742.195912837982,2316,13896000,11742.195912837982,10,300,cfr,1000,10,3104,2001.4570434468037,interval
20260502-173235,1777762371.115515,319,1914000,7227.739278078079,2135,12810000,4815.345146894455,2454,14724000,12043.084424972534,2454,14724000,12043.084424972534,10,300,cfr,1000,10,3104,-339.26951994421756,interval
20260502-173235,1777762671.9901838,319,1914000,7227.739278078079,2275,13650000,5116.217944860458,2594,15564000,12343.957222938538,2594,15564000,12343.957222938538,10,300,cfr,1000,10,3104,1683.8064181995144,interval
20260502-173235,1777762973.2574232,319,1914000,7227.739278078079,2415,14490000,5417.482801914215,2734,16404000,12645.222079992294,2734,16404000,12645.222079992294,10,300,cfr,1000,10,3104,1756.7059167728778,interval
20260502-173235,1777763274.837918,319,1914000,7227.739278078079,2548,15288000,5719.067674875259,2867,17202000,12946.806952953339,2867,17202000,12946.806952953339,10,300,cfr,1000,10,3104,941.0942422242725,interval
20260502-173235,1777763576.088614,319,1914000,7227.739278078079,2689,16134000,6020.316957950592,3008,18048000,13248.056236028671,3008,18048000,13248.056236028671,10,300,cfr,1000,10,3104,-763.7365616764428,interval
20260502-173235,1777763876.180073,319,1914000,7227.739278078079,2827,16962000,6320.405916929245,3146,18876000,13548.145195007324,3146,18876000,13548.145195007324,10,300,cfr,1000,10,3104,959.9336131573858,interval
20260502-173235,1777764177.372132,319,1914000,7227.739278078079,2969,17814000,6621.597505092621,3288,19728000,13849.3367831707,3288,19728000,13849.3367831707,10,300,cfr,1000,10,3104,767.2200944932575,interval
20260502-173235,1777764477.669722,319,1914000,7227.739278078079,3117,18702000,6921.899824857712,3436,20616000,14149.639102935791,3436,20616000,14149.639102935791,10,300,cfr,1000,10,3104,900.4673747915006,interval
20260502-173235,1777764778.627533,319,1914000,7227.739278078079,3262,19572000,7222.853569984436,3581,21486000,14450.592848062515,3581,21486000,14450.592848062515,10,300,cfr,1000,10,3104,362.74279984329706,interval
20260502-173235,1777765078.709551,319,1914000,7227.739278078079,3404,20424000,7522.93945980072,3723,22338000,14750.6787378788,3723,22338000,14750.6787378788,10,300,cfr,1000,10,3104,-2800.83882881526,interval
20260502-173235,1777765379.590105,319,1914000,7227.739278078079,3548,21288000,7823.81805896759,3867,23202000,15051.55733704567,3867,23202000,15051.55733704567,10,300,cfr,1000,10,3104,-2693.321931244229,interval
20260502-173235,1777765681.586215,319,1914000,7227.739278078079,3696,22176000,8125.816162109375,4015,24090000,15353.555440187454,4015,24090000,15353.555440187454,10,300,cfr,1000,10,3104,76.37831419777694,interval
20260502-173235,1777765981.688426,319,1914000,7227.739278078079,3840,23040000,8425.91769194603,4159,24954000,15653.656970024109,4159,24954000,15653.656970024109,10,300,cfr,1000,10,3104,-483.1262271976849,interval
20260502-173235,1777766282.561964,319,1914000,7227.739278078079,3983,23898000,8726.78726887703,4302,25812000,15954.526546955109,4302,25812000,15954.526546955109,10,300,cfr,1000,10,3104,-582.263754381901,interval
20260502-173235,1777766583.53848,319,1914000,7227.739278078079,4126,24756000,9027.765571832657,4445,26670000,16255.504849910736,4445,26670000,16255.504849910736,10,300,cfr,1000,10,3104,-823.6513781309809,interval
20260502-173235,1777766884.6726599,319,1914000,7227.739278078079,4270,25620000,9328.900533914566,4589,27534000,16556.639811992645,4589,27534000,16556.639811992645,10,300,cfr,1000,10,3104,-581.0812976278276,interval
20260502-173235,1777767185.439834,319,1914000,7227.739278078079,4415,26490000,9629.671159029007,4734,28404000,16857.410437107086,4734,28404000,16857.410437107086,10,300,cfr,1000,10,3104,-652.215925382746,interval
20260502-173235,1777767486.143467,319,1914000,7227.739278078079,4555,27330000,9930.371757745743,4874,29244000,17158.111035823822,4874,29244000,17158.111035823822,10,300,cfr,1000,10,3104,-1525.8069136198453,interval
20260502-173235,1777767786.698282,319,1914000,7227.739278078079,4695,28170000,10230.920187950134,5014,30084000,17458.659466028214,5014,30084000,17458.659466028214,10,300,cfr,1000,10,3104,-411.86256630083943,interval
20260502-173235,1777768088.354951,319,1914000,7227.739278078079,4842,29052000,10532.585640907288,5161,30966000,17760.324918985367,5161,30966000,17760.324918985367,10,300,cfr,1000,10,3104,-939.0131057145489,interval
20260502-173235,1777768389.617037,319,1914000,7227.739278078079,4989,29934000,10833.847607135773,5308,31848000,18061.586885213852,5308,31848000,18061.586885213852,10,300,cfr,1000,10,3104,-493.06945176152294,interval
20260502-173235,1777768690.221716,319,1914000,7227.739278078079,5133,30798000,11134.453196048737,5452,32712000,18362.192474126816,5452,32712000,18362.192474126816,10,300,cfr,1000,10,3104,-1628.2999883502243,interval
20260502-173235,1777768990.6235971,319,1914000,7227.739278078079,5273,31638000,11434.849565029144,5592,33552000,18662.588843107224,5592,33552000,18662.588843107224,10,300,cfr,1000,10,3104,1053.1866368752771,interval
20260502-173235,1777769291.499994,319,1914000,7227.739278078079,5411,32466000,11735.731081962585,5730,34380000,18963.470360040665,5730,34380000,18963.470360040665,10,300,cfr,1000,10,3104,-525.9748814426783,interval
20260502-173235,1777769593.29651,319,1914000,7227.739278078079,5555,33330000,12037.525392770767,5874,35244000,19265.264670848846,5874,35244000,19265.264670848846,10,300,cfr,1000,10,3104,-1044.6512798542192,interval
20260502-173235,1777769894.756955,319,1914000,7227.739278078079,5700,34200000,12338.988353967667,6019,36114000,19566.727632045746,6019,36114000,19566.727632045746,10,300,cfr,1000,10,3104,395.6540592303452,interval
