opponent,games,hands_total,pokeragent_chips,opponent_chips,pokeragent_wins,opponent_wins,chips_per_game,best_game_gain,worst_game_gain,std_game_gain,elapsed_sec
RandomPlayer,100,10000,190190,9610,95,4,901.9,1000,-1000,355.4,10.1
RaisedPlayer,100,10000,126420,73420,63,37,264.2,1000,-1000,910.5,10.5
TightPassive,100,10000,165360,34530,85,15,653.6,1000,-1000,572.1,11.3
LooseAggr,100,10000,119310,80450,60,40,193.1,1000,-1000,916.4,12.0
Raise50,100,10000,190130,9600,96,4,901.3,1000,-750,289.5,4.1
Raise90,100,10000,124230,75500,63,37,242.3,1000,-1000,918.7,8.0
PreflopAggroSticky,100,10000,143920,55900,72,27,439.2,1000,-1000,778.5,12.2
CallingStation,100,10000,157690,42220,82,18,576.9,1000,-1000,593.9,5.2
PressureFolder,100,10000,194760,4970,100,0,947.6,1000,520,108.9,1.1
ValueRegular,100,10000,119140,80750,60,40,191.4,1000,-1000,741.2,2.2
NittyValue,100,10000,113040,86880,58,41,130.4,1000,-1000,662.9,3.3
BalancedPressure,100,10000,110740,89120,60,40,107.4,1000,-1000,800.3,6.3
ShowdownRegular,100,10000,126490,73420,68,32,264.9,1000,-1000,820.1,9.4
