variant,opponent,games,hands_total,agent_chips,opponent_chips,agent_wins,opponent_wins,chips_per_game,best_game_gain,worst_game_gain,std_game_gain,elapsed_sec
CFR,Random,32,3200,59080,4860,31,1,846.2,1000,-830,371.2,206.4
CFR,Raise,32,3200,25000,38910,13,19,-218.8,1000,-1000,918.4,115.0
CFR,Call,32,3200,49920,14050,28,4,560.0,1000,-1000,594.9,221.1
CFR,Loose,32,3200,54580,9340,29,3,705.6,1000,-1000,595.0,125.5
CFR,Raise mix,32,3200,59000,4930,31,1,843.8,1000,-130,305.5,107.8
CFR,Raise often,32,3200,34030,29890,17,15,63.4,1000,-1000,960.5,144.8
CFR,Preflop raise,32,3200,47280,16680,26,6,477.5,1000,-1000,745.3,204.1
CFR,Call mostly,32,3200,46620,17320,25,7,456.9,1000,-1000,703.6,12.4
CFR,Fold to bets,32,3200,63200,680,32,0,975.0,1000,690,66.0,176.1
CFR,Value,32,3200,28410,35560,15,17,-112.2,1000,-1000,765.2,175.8
CFR,Tight,32,3200,40270,23720,23,9,258.4,1000,-1000,513.0,172.6
CFR,Pressure,32,3200,35720,28250,20,12,116.2,1000,-1000,788.1,229.1
CFR,Showdown,32,3200,40110,23870,19,13,253.4,1000,-1000,756.9,154.0
Preflop,Random,32,3200,58410,5540,29,3,825.3,1000,-260,365.0,140.3
Preflop,Raise,32,3200,39400,24550,19,13,231.2,1000,-1000,902.5,212.1
Preflop,Call,32,3200,53850,10130,29,3,682.8,1000,-640,454.2,199.2
Preflop,Loose,32,3200,44250,19640,22,10,382.8,1000,-1000,823.6,227.6
Preflop,Raise mix,32,3200,57910,6020,30,2,809.7,1000,-1000,443.0,228.7
Preflop,Raise often,32,3200,30690,33240,15,17,-40.9,1000,-1000,920.9,162.2
Preflop,Preflop raise,32,3200,49310,14650,24,8,540.9,1000,-1000,706.8,199.7
Preflop,Call mostly,32,3200,50890,13080,27,5,590.3,1000,-1000,502.7,171.9
Preflop,Fold to bets,32,3200,62800,1140,32,0,962.5,1000,740,78.6,206.2
Preflop,Value,32,3200,34220,29750,16,15,69.4,1000,-1000,744.2,204.8
Preflop,Tight,32,3200,34810,29180,18,14,87.8,1000,-1000,633.0,172.1
Preflop,Pressure,32,3200,37210,26750,18,14,162.8,1000,-1000,842.1,196.5
Preflop,Showdown,32,3200,37150,26820,18,13,160.9,1000,-1000,840.2,161.8
Search,Random,32,3200,56680,7240,29,3,771.2,1000,-1000,476.7,110.0
Search,Raise,32,3200,25910,38060,13,19,-190.3,1000,-1000,874.6,223.1
Search,Call,32,3200,52240,11730,25,6,632.5,1000,-1000,531.4,227.7
Search,Loose,32,3200,41060,22890,21,11,283.1,1000,-1000,869.0,234.1
Search,Raise mix,32,3200,55780,8130,29,3,743.1,1000,-1000,557.5,227.0
Search,Raise often,32,3200,37240,26710,18,14,163.8,1000,-1000,894.8,161.4
Search,Preflop raise,32,3200,36530,27380,19,13,141.6,1000,-1000,858.6,227.5
Search,Call mostly,32,3200,51890,12080,26,6,621.6,1000,-1000,643.5,219.7
Search,Fold to bets,32,3200,62460,1450,32,0,951.9,1000,660,91.9,222.8
Search,Value,32,3200,29590,34370,15,17,-75.3,1000,-1000,866.5,154.2
Search,Tight,32,3200,33410,30580,19,13,44.1,1000,-1000,666.7,201.2
Search,Pressure,32,3200,24600,39360,13,19,-231.2,1000,-1000,805.3,221.8
Search,Showdown,32,3200,32430,31560,18,14,13.4,1000,-1000,829.8,213.8
Full,Random,32,3200,55470,8460,29,3,733.4,1000,-1000,528.1,193.0
Full,Raise,32,3200,34150,29780,17,15,67.2,1000,-1000,928.4,220.8
Full,Call,32,3200,52670,11320,28,4,645.9,1000,-1000,581.6,228.3
Full,Loose,32,3200,48990,14900,24,8,530.9,1000,-1000,784.4,204.1
Full,Raise mix,32,3200,57980,5960,30,2,811.9,1000,-1000,510.0,214.3
Full,Raise often,32,3200,38720,25220,20,12,210.0,1000,-1000,917.6,232.1
Full,Preflop raise,32,3200,39260,24700,22,10,226.9,1000,-1000,811.2,142.0
Full,Call mostly,32,3200,44940,19010,23,9,404.4,1000,-1000,782.4,208.2
Full,Fold to bets,32,3200,61960,1960,32,0,936.2,1000,500,135.3,114.5
Full,Value,32,3200,27210,36770,14,18,-149.7,1000,-1000,835.8,180.3
Full,Tight,32,3200,36830,27120,21,11,150.9,1000,-1000,759.2,85.7
Full,Pressure,32,3200,35270,28700,17,15,102.2,1000,-1000,905.2,229.7
Full,Showdown,32,3200,36590,27370,21,11,143.4,1000,-1000,776.3,230.4
