opponent,games,hands_total,pokeragent_chips,opponent_chips,pokeragent_wins,opponent_wins,chips_per_game,best_game_gain,worst_game_gain,std_game_gain,elapsed_sec
Random,64,6400,114220,13620,59,4,784.7,1000,-1000,488.8,7.9
Raise,64,6400,72740,55120,36,28,136.6,1000,-1000,963.1,12.3
Call,64,6400,99860,28130,53,11,560.3,1000,-1000,519.4,16.3
Loose,64,6400,103400,24500,52,11,615.6,1000,-1000,729.6,3.5
Raise mix,64,6400,119030,8790,62,2,859.8,1000,-1000,368.5,11.1
Raise often,64,6400,83220,44660,43,21,300.3,1000,-1000,872.9,6.9
Preflop raise,64,6400,73160,54710,38,26,143.1,1000,-1000,869.0,9.0
Call mostly,64,6400,110310,17620,59,5,723.6,1000,-1000,535.0,13.6
Fold to bets,64,6400,125650,2210,64,0,963.3,1000,510,87.2,13.5
Value,64,6400,65240,62660,35,29,19.4,1000,-1000,811.5,10.1
Tight,64,6400,73590,54350,38,24,149.8,1000,-1000,611.1,2.5
Pressure,64,6400,74840,53100,36,28,169.4,1000,-1000,841.5,4.6
Showdown,64,6400,69550,58400,37,27,86.7,1000,-1000,810.2,15.0
