split,variant,opponent,opponent_kind,games,hands_total,agent_chips,opponent_chips,agent_wins,opponent_wins,chips_per_game,best_game_gain,worst_game_gain,std_game_gain,elapsed_sec
validation,CFR,validation_value_0,randomized,12,1200,15080,8910,7,5,256.667,1000,-550,572.208,114.479
validation,CFR,validation_value_1,randomized,12,1200,15310,8690,8,3,275.833,1000,-1000,586.067,115.628
validation,CFR,validation_tight_0,randomized,12,1200,16030,7960,8,4,335.833,990,-300,412.239,116.37
validation,CFR,validation_tight_1,randomized,12,1200,11690,12290,5,7,-25.833,1000,-1000,728.68,117.432
validation,CFR,validation_pressure_0,randomized,12,1200,15410,8570,7,5,284.167,1000,-1000,826.806,118.716
validation,CFR,validation_pressure_1,randomized,12,1200,15860,8130,7,5,321.667,1000,-1000,758.549,122.734
validation,CFR,validation_caller_0,randomized,12,1200,16010,7970,8,4,334.167,1000,-1000,852.54,123.052
validation,CFR,validation_caller_1,randomized,12,1200,12000,11980,6,5,0.0,1000,-1000,561.916,123.767
validation,CFR,validation_loose_0,randomized,12,1200,15120,8870,8,4,260.0,1000,-1000,868.802,124.329
validation,CFR,validation_loose_1,randomized,12,1200,8060,15930,3,8,-328.333,1000,-1000,834.963,124.497
validation,CFR,validation_fold_0,randomized,12,1200,12770,11220,7,5,64.167,1000,-900,532.22,124.585
validation,CFR,validation_fold_1,randomized,12,1200,18030,5960,11,1,502.5,1000,-170,395.772,124.575
validation,CFR,validation_static_Value,static,12,1200,9010,14970,4,8,-249.167,1000,-1000,746.05,124.677
validation,CFR,validation_static_Tight,static,12,1200,12830,11160,5,7,69.167,1000,-560,499.574,124.709
validation,CFR,validation_static_Pressure,static,12,1200,5870,18060,2,10,-510.833,990,-1000,754.834,124.766
validation,CFR,validation_static_Showdown,static,12,1200,8820,15140,5,7,-265.0,1000,-1000,893.313,124.816
validation,CFR,validation_checkpoint_120228k,checkpoint,12,1200,9000,14990,4,8,-250.0,1000,-1000,879.839,125.147
validation,CFR,validation_checkpoint_140004k,checkpoint,12,1200,9140,14850,5,7,-238.333,920,-1000,663.737,125.274
validation,CFR,validation_checkpoint_143004k,checkpoint,12,1200,9180,14790,6,6,-235.0,990,-1000,707.348,125.492
validation,CFR,validation_checkpoint_195510k,checkpoint,12,1200,17110,6880,8,3,425.833,1000,-440,530.683,125.664
